season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2016/17,2016,championship,Beitar Jerusalem,Bnei Sakhnin,3,0,3,H,3,0
2016/17,2016,championship,Beitar Jerusalem,Hapoel Be'er Sheva,1,1,0,D,1,1
2016/17,2016,championship,Beitar Jerusalem,Maccabi Haifa,2,0,2,H,3,0
2016/17,2016,championship,Beitar Jerusalem,Maccabi Petah Tikva,2,1,1,H,3,0
2016/17,2016,championship,Beitar Jerusalem,Maccabi Tel Aviv,1,1,0,D,1,1
2016/17,2016,championship,Bnei Sakhnin,Beitar Jerusalem,1,5,-4,A,0,3
2016/17,2016,championship,Bnei Sakhnin,Hapoel Be'er Sheva,1,3,-2,A,0,3
2016/17,2016,championship,Bnei Sakhnin,Maccabi Haifa,1,0,1,H,3,0
2016/17,2016,championship,Bnei Sakhnin,Maccabi Petah Tikva,1,0,1,H,3,0
2016/17,2016,championship,Bnei Sakhnin,Maccabi Tel Aviv,1,3,-2,A,0,3
2016/17,2016,championship,Hapoel Be'er Sheva,Beitar Jerusalem,2,0,2,H,3,0
2016/17,2016,championship,Hapoel Be'er Sheva,Bnei Sakhnin,2,0,2,H,3,0
2016/17,2016,championship,Hapoel Be'er Sheva,Maccabi Haifa,4,0,4,H,3,0
2016/17,2016,championship,Hapoel Be'er Sheva,Maccabi Petah Tikva,1,1,0,D,1,1
2016/17,2016,championship,Hapoel Be'er Sheva,Maccabi Tel Aviv,1,0,1,H,3,0
2016/17,2016,championship,Maccabi Haifa,Beitar Jerusalem,3,2,1,H,3,0
2016/17,2016,championship,Maccabi Haifa,Bnei Sakhnin,0,1,-1,A,0,3
2016/17,2016,championship,Maccabi Haifa,Hapoel Be'er Sheva,0,1,-1,A,0,3
2016/17,2016,championship,Maccabi Haifa,Maccabi Petah Tikva,0,0,0,D,1,1
2016/17,2016,championship,Maccabi Haifa,Maccabi Tel Aviv,0,2,-2,A,0,3
2016/17,2016,championship,Maccabi Petah Tikva,Beitar Jerusalem,0,1,-1,A,0,3
2016/17,2016,championship,Maccabi Petah Tikva,Bnei Sakhnin,1,0,1,H,3,0
2016/17,2016,championship,Maccabi Petah Tikva,Hapoel Be'er Sheva,1,2,-1,A,0,3
2016/17,2016,championship,Maccabi Petah Tikva,Maccabi Haifa,0,1,-1,A,0,3
2016/17,2016,championship,Maccabi Petah Tikva,Maccabi Tel Aviv,2,1,1,H,3,0
2016/17,2016,championship,Maccabi Tel Aviv,Beitar Jerusalem,0,2,-2,A,0,3
2016/17,2016,championship,Maccabi Tel Aviv,Bnei Sakhnin,3,0,3,H,3,0
2016/17,2016,championship,Maccabi Tel Aviv,Hapoel Be'er Sheva,1,2,-1,A,0,3
2016/17,2016,championship,Maccabi Tel Aviv,Maccabi Haifa,3,0,3,H,3,0
2016/17,2016,championship,Maccabi Tel Aviv,Maccabi Petah Tikva,2,0,2,H,3,0
