round,home,score,away,season,season_year
1,H. Kfar Saba,4:1,H. Petah Tikva,2006/07,2006
2,M. Petah Tikva,0:0,Hakoah Amidar,2006/07,2006
3,FC Ashdod,1:0,Maccabi Herzlya,2006/07,2006
4,Maccabi Netanya,3:1,Maccabi Haifa,2006/07,2006
5,M. Tel Aviv,1:2,B. Jerusalem,2006/07,2006
6,Bnei Yehuda,1:1,Hapoel Tel Aviv,2006/07,2006
7,Hakoah Amidar,3:2,Bnei Yehuda,2006/07,2006
8,Maccabi Herzlya,0:3,M. Petah Tikva,2006/07,2006
9,Maccabi Haifa,1:0,FC Ashdod,2006/07,2006
10,H. Petah Tikva,0:0,Maccabi Netanya,2006/07,2006
11,M. Tel Aviv,0:2,H. Kfar Saba,2006/07,2006
12,B. Jerusalem,2:1,Hapoel Tel Aviv,2006/07,2006
13,Maccabi Netanya,1:1,M. Tel Aviv,2006/07,2006
14,FC Ashdod,2:1,H. Petah Tikva,2006/07,2006
15,Bnei Yehuda,2:1,Maccabi Herzlya,2006/07,2006
16,H. Kfar Saba,2:3,B. Jerusalem,2006/07,2006
17,M. Petah Tikva,0:1,Maccabi Haifa,2006/07,2006
18,Hapoel Tel Aviv,4:1,Hakoah Amidar,2006/07,2006
19,B. Jerusalem,0:0,Hakoah Amidar,2006/07,2006
20,H. Petah Tikva,0:1,M. Petah Tikva,2006/07,2006
21,M. Tel Aviv,1:0,FC Ashdod,2006/07,2006
22,H. Kfar Saba,1:1,Maccabi Netanya,2006/07,2006
23,Maccabi Haifa,2:0,Bnei Yehuda,2006/07,2006
24,Maccabi Herzlya,2:2,Hapoel Tel Aviv,2006/07,2006
25,M. Petah Tikva,2:1,M. Tel Aviv,2006/07,2006
26,Bnei Yehuda,3:1,H. Petah Tikva,2006/07,2006
27,Hakoah Amidar,1:2,Maccabi Herzlya,2006/07,2006
28,FC Ashdod,3:0,H. Kfar Saba,2006/07,2006
29,Maccabi Netanya,3:1,B. Jerusalem,2006/07,2006
30,Hapoel Tel Aviv,2:0,Maccabi Haifa,2006/07,2006
31,M. Tel Aviv,4:0,Bnei Yehuda,2006/07,2006
32,Maccabi Netanya,1:3,FC Ashdod,2006/07,2006
33,H. Kfar Saba,3:0,M. Petah Tikva,2006/07,2006
34,B. Jerusalem,3:0,Maccabi Herzlya,2006/07,2006
35,H. Petah Tikva,0:2,Hapoel Tel Aviv,2006/07,2006
36,Maccabi Haifa,3:3,Hakoah Amidar,2006/07,2006
37,Bnei Yehuda,2:2,H. Kfar Saba,2006/07,2006
38,M. Petah Tikva,0:1,Maccabi Netanya,2006/07,2006
39,Maccabi Herzlya,2:2,Maccabi Haifa,2006/07,2006
40,Hakoah Amidar,0:3,H. Petah Tikva,2006/07,2006
41,FC Ashdod,1:4,B. Jerusalem,2006/07,2006
42,Hapoel Tel Aviv,1:3,M. Tel Aviv,2006/07,2006
43,Maccabi Netanya,0:0,Bnei Yehuda,2006/07,2006
44,H. Petah Tikva,1:1,Maccabi Herzlya,2006/07,2006
45,FC Ashdod,1:2,M. Petah Tikva,2006/07,2006
46,M. Tel Aviv,1:0,Hakoah Amidar,2006/07,2006
47,B. Jerusalem,1:1,Maccabi Haifa,2006/07,2006
48,H. Kfar Saba,0:1,Hapoel Tel Aviv,2006/07,2006
49,Hakoah Amidar,0:0,H. Kfar Saba,2006/07,2006
50,Bnei Yehuda,2:3,FC Ashdod,2006/07,2006
51,Hapoel Tel Aviv,2:1,Maccabi Netanya,2006/07,2006
52,Maccabi Herzlya,0:2,M. Tel Aviv,2006/07,2006
53,Maccabi Haifa,2:1,H. Petah Tikva,2006/07,2006
54,M. Petah Tikva,3:1,B. Jerusalem,2006/07,2006
55,Maccabi Netanya,1:0,Hakoah Amidar,2006/07,2006
56,M. Petah Tikva,1:0,Bnei Yehuda,2006/07,2006
57,H. Kfar Saba,2:1,Maccabi Herzlya,2006/07,2006
58,B. Jerusalem,2:0,H. Petah Tikva,2006/07,2006
59,M. Tel Aviv,1:1,Maccabi Haifa,2006/07,2006
60,FC Ashdod,2:1,Hapoel Tel Aviv,2006/07,2006
61,H. Petah Tikva,1:2,M. Tel Aviv,2006/07,2006
62,Maccabi Herzlya,1:0,Maccabi Netanya,2006/07,2006
63,Hakoah Amidar,0:1,FC Ashdod,2006/07,2006
64,Hapoel Tel Aviv,0:1,M. Petah Tikva,2006/07,2006
65,Bnei Yehuda,0:2,B. Jerusalem,2006/07,2006
66,Maccabi Haifa,3:3,H. Kfar Saba,2006/07,2006
67,Hapoel Tel Aviv,3:1,Bnei Yehuda,2006/07,2006
68,Maccabi Herzlya,1:2,FC Ashdod,2006/07,2006
69,Hakoah Amidar,0:0,M. Petah Tikva,2006/07,2006
70,H. Petah Tikva,0:0,H. Kfar Saba,2006/07,2006
71,Maccabi Haifa,1:0,Maccabi Netanya,2006/07,2006
72,B. Jerusalem,0:0,M. Tel Aviv,2006/07,2006
73,H. Kfar Saba,1:1,M. Tel Aviv,2006/07,2006
74,Bnei Yehuda,0:0,Hakoah Amidar,2006/07,2006
75,M. Petah Tikva,2:2,Maccabi Herzlya,2006/07,2006
76,Maccabi Netanya,1:1,H. Petah Tikva,2006/07,2006
77,FC Ashdod,1:1,Maccabi Haifa,2006/07,2006
78,Hapoel Tel Aviv,1:1,B. Jerusalem,2006/07,2006
79,Hakoah Amidar,3:4,Hapoel Tel Aviv,2006/07,2006
80,H. Petah Tikva,2:3,FC Ashdod,2006/07,2006
81,Maccabi Herzlya,0:0,Bnei Yehuda,2006/07,2006
82,Maccabi Haifa,1:0,M. Petah Tikva,2006/07,2006
83,M. Tel Aviv,0:0,Maccabi Netanya,2006/07,2006
84,B. Jerusalem,2:0,H. Kfar Saba,2006/07,2006
85,Hapoel Tel Aviv,2:0,Maccabi Herzlya,2006/07,2006
86,FC Ashdod,2:2,M. Tel Aviv,2006/07,2006
