season,stage,round,team,points,position,goal_diff
2006/07,regular,1,H. Kfar Saba,3,1,3
2006/07,regular,1,Maccabi Netanya,3,2,2
2006/07,regular,1,B. Jerusalem,3,3,1
2006/07,regular,1,FC Ashdod,3,4,1
2006/07,regular,1,Bnei Yehuda,1,5,0
2006/07,regular,1,Hapoel Tel Aviv,1,5,0
2006/07,regular,1,Hakoah Amidar,1,7,0
2006/07,regular,1,M. Petah Tikva,1,7,0
2006/07,regular,1,Maccabi Herzlya,0,9,-1
2006/07,regular,1,Maccabi Haifa,0,10,-2
2006/07,regular,1,M. Tel Aviv,-2,11,-1
2006/07,regular,1,H. Petah Tikva,-3,12,-3
2006/07,regular,2,H. Kfar Saba,6,1,5
2006/07,regular,2,B. Jerusalem,6,2,2
2006/07,regular,2,M. Petah Tikva,4,3,3
2006/07,regular,2,Maccabi Netanya,4,4,2
2006/07,regular,2,Hakoah Amidar,4,5,1
2006/07,regular,2,FC Ashdod,3,6,0
2006/07,regular,2,Maccabi Haifa,3,7,-1
2006/07,regular,2,Bnei Yehuda,1,8,-1
2006/07,regular,2,Hapoel Tel Aviv,1,9,-1
2006/07,regular,2,Maccabi Herzlya,0,10,-4
2006/07,regular,2,H. Petah Tikva,-2,11,-3
2006/07,regular,2,M. Tel Aviv,-2,11,-3
2006/07,regular,3,B. Jerusalem,9,1,3
2006/07,regular,3,H. Kfar Saba,6,2,4
2006/07,regular,3,FC Ashdod,6,3,1
2006/07,regular,3,Maccabi Haifa,6,4,0
2006/07,regular,3,Maccabi Netanya,5,5,2
2006/07,regular,3,Hapoel Tel Aviv,4,6,2
2006/07,regular,3,M. Petah Tikva,4,7,2
2006/07,regular,3,Bnei Yehuda,4,8,0
2006/07,regular,3,Hakoah Amidar,4,9,-2
2006/07,regular,3,Maccabi Herzlya,0,10,-5
2006/07,regular,3,M. Tel Aviv,-1,11,-3
2006/07,regular,3,H. Petah Tikva,-2,12,-4
2006/07,regular,4,B. Jerusalem,10,1,3
2006/07,regular,4,Maccabi Haifa,9,2,2
2006/07,regular,4,H. Kfar Saba,7,3,4
2006/07,regular,4,M. Petah Tikva,7,4,3
2006/07,regular,4,Maccabi Netanya,6,5,2
2006/07,regular,4,FC Ashdod,6,6,0
2006/07,regular,4,Hapoel Tel Aviv,5,7,2
2006/07,regular,4,Hakoah Amidar,5,8,-2
2006/07,regular,4,Bnei Yehuda,4,9,-2
2006/07,regular,4,M. Tel Aviv,2,10,-2
2006/07,regular,4,Maccabi Herzlya,1,11,-5
2006/07,regular,4,H. Petah Tikva,-2,12,-5
2006/07,regular,5,M. Petah Tikva,10,1,4
2006/07,regular,5,B. Jerusalem,10,2,1
2006/07,regular,5,Maccabi Netanya,9,3,4
2006/07,regular,5,FC Ashdod,9,4,3
2006/07,regular,5,Maccabi Haifa,9,5,0
2006/07,regular,5,Hapoel Tel Aviv,8,6,4
2006/07,regular,5,H. Kfar Saba,7,7,1
2006/07,regular,5,Bnei Yehuda,7,8,0
2006/07,regular,5,Hakoah Amidar,5,9,-3
