season,stage,round,team,points,position,goal_diff
2010/11,championship_playoff,31,Hapoel Tel Aviv,36,1,39
2010/11,championship_playoff,31,Maccabi Haifa,35,2,29
2010/11,championship_playoff,31,M. Tel Aviv,28,3,10
2010/11,championship_playoff,31,Maccabi Netanya,25,4,7
2010/11,championship_playoff,31,Bnei Yehuda,24,5,20
2010/11,championship_playoff,31,Kiryat Shmona,24,6,14
2010/11,championship_playoff,32,Maccabi Haifa,38,1,31
2010/11,championship_playoff,32,Hapoel Tel Aviv,36,2,37
2010/11,championship_playoff,32,M. Tel Aviv,31,3,12
2010/11,championship_playoff,32,Maccabi Netanya,26,4,7
2010/11,championship_playoff,32,Kiryat Shmona,25,5,14
2010/11,championship_playoff,32,Bnei Yehuda,24,6,18
2010/11,championship_playoff,33,Maccabi Haifa,41,1,33
2010/11,championship_playoff,33,Hapoel Tel Aviv,37,2,37
2010/11,championship_playoff,33,M. Tel Aviv,31,3,10
2010/11,championship_playoff,33,Bnei Yehuda,27,4,19
2010/11,championship_playoff,33,Maccabi Netanya,27,5,7
2010/11,championship_playoff,33,Kiryat Shmona,25,6,13
2010/11,championship_playoff,34,Maccabi Haifa,44,1,35
2010/11,championship_playoff,34,Hapoel Tel Aviv,38,2,37
2010/11,championship_playoff,34,M. Tel Aviv,32,3,10
2010/11,championship_playoff,34,Bnei Yehuda,30,4,23
2010/11,championship_playoff,34,Maccabi Netanya,27,5,3
2010/11,championship_playoff,34,Kiryat Shmona,25,6,11
2010/11,championship_playoff,35,Maccabi Haifa,45,1,35
2010/11,championship_playoff,35,Hapoel Tel Aviv,38,2,36
2010/11,championship_playoff,35,M. Tel Aviv,35,3,13
2010/11,championship_playoff,35,Bnei Yehuda,31,4,23
2010/11,championship_playoff,35,Kiryat Shmona,28,5,12
2010/11,championship_playoff,35,Maccabi Netanya,27,6,0
