season,stage,round,team,points,position,goal_diff
2012/13,championship_playoff,27,M. Tel Aviv,62,1,1
2012/13,championship_playoff,27,Maccabi Haifa,52,2,1
2012/13,championship_playoff,27,Hapoel Tel Aviv,45,3,1
2012/13,championship_playoff,27,Kiryat Shmona,43,4,-1
2012/13,championship_playoff,27,Bnei Yehuda,38,5,-1
2012/13,championship_playoff,27,Ramat haSharon,37,6,-1
2012/13,championship_playoff,28,M. Tel Aviv,63,1,1
2012/13,championship_playoff,28,Maccabi Haifa,53,2,1
2012/13,championship_playoff,28,Hapoel Tel Aviv,48,3,2
2012/13,championship_playoff,28,Kiryat Shmona,44,4,-1
2012/13,championship_playoff,28,Bnei Yehuda,39,5,-1
2012/13,championship_playoff,28,Ramat haSharon,37,6,-2
2012/13,championship_playoff,29,M. Tel Aviv,66,1,3
2012/13,championship_playoff,29,Maccabi Haifa,56,2,7
2012/13,championship_playoff,29,Hapoel Tel Aviv,51,3,3
2012/13,championship_playoff,29,Kiryat Shmona,44,4,-3
2012/13,championship_playoff,29,Bnei Yehuda,39,5,-2
2012/13,championship_playoff,29,Ramat haSharon,37,6,-8
2012/13,championship_playoff,30,M. Tel Aviv,69,1,5
2012/13,championship_playoff,30,Maccabi Haifa,59,2,8
2012/13,championship_playoff,30,Hapoel Tel Aviv,51,3,1
2012/13,championship_playoff,30,Kiryat Shmona,44,4,-4
2012/13,championship_playoff,30,Bnei Yehuda,42,5,1
2012/13,championship_playoff,30,Ramat haSharon,37,6,-11
2012/13,championship_playoff,31,M. Tel Aviv,70,1,5
2012/13,championship_playoff,31,Maccabi Haifa,60,2,8
2012/13,championship_playoff,31,Hapoel Tel Aviv,52,3,1
2012/13,championship_playoff,31,Kiryat Shmona,47,4,-3
2012/13,championship_playoff,31,Bnei Yehuda,43,5,1
2012/13,championship_playoff,31,Ramat haSharon,37,6,-12
2012/13,championship_playoff,32,M. Tel Aviv,73,1,7
2012/13,championship_playoff,32,Maccabi Haifa,60,2,7
2012/13,championship_playoff,32,Hapoel Tel Aviv,52,3,-2
2012/13,championship_playoff,32,Kiryat Shmona,50,4,0
2012/13,championship_playoff,32,Bnei Yehuda,46,5,2
2012/13,championship_playoff,32,Ramat haSharon,37,6,-14
2012/13,championship_playoff,33,M. Tel Aviv,74,1,7
2012/13,championship_playoff,33,Maccabi Haifa,61,2,7
2012/13,championship_playoff,33,Hapoel Tel Aviv,55,3,0
2012/13,championship_playoff,33,Kiryat Shmona,50,4,-1
2012/13,championship_playoff,33,Bnei Yehuda,49,5,3
2012/13,championship_playoff,33,Ramat haSharon,37,6,-16
2012/13,championship_playoff,34,M. Tel Aviv,77,1,8
2012/13,championship_playoff,34,Maccabi Haifa,61,2,6
2012/13,championship_playoff,34,Hapoel Tel Aviv,58,3,1
2012/13,championship_playoff,34,Kiryat Shmona,50,4,-2
2012/13,championship_playoff,34,Bnei Yehuda,49,5,2
2012/13,championship_playoff,34,Ramat haSharon,40,6,-15
2012/13,championship_playoff,35,M. Tel Aviv,80,1,10
2012/13,championship_playoff,35,Maccabi Haifa,64,2,7
2012/13,championship_playoff,35,Hapoel Tel Aviv,58,3,-1
2012/13,championship_playoff,35,Bnei Yehuda,52,4,3
2012/13,championship_playoff,35,Kiryat Shmona,50,5,-3
2012/13,championship_playoff,35,Ramat haSharon,40,6,-16
2012/13,championship_playoff,36,M. Tel Aviv,80,1,7
2012/13,championship_playoff,36,Maccabi Haifa,67,2,8
2012/13,championship_playoff,36,Hapoel Tel Aviv,58,3,-2
2012/13,championship_playoff,36,Bnei Yehuda,55,4,6
2012/13,championship_playoff,36,Kiryat Shmona,53,5,-2
2012/13,championship_playoff,36,Ramat haSharon,40,6,-17
