season,stage,round,team,points,position,goal_diff
2009/10,relegation_playoff,31,H. Ramat Gan,18,1,-20
2009/10,relegation_playoff,31,Hapoel Haifa,17,2,-6
2009/10,relegation_playoff,31,Hapoel Acre,16,3,-13
2009/10,relegation_playoff,31,H. Petah Tikva,16,4,-19
2009/10,relegation_playoff,31,M. Ahi Nazareth,13,5,-40
2009/10,relegation_playoff,31,Hapoel Raanana,11,6,-30
2009/10,relegation_playoff,32,Hapoel Haifa,20,1,-5
2009/10,relegation_playoff,32,H. Ramat Gan,18,2,-21
2009/10,relegation_playoff,32,Hapoel Acre,16,3,-17
2009/10,relegation_playoff,32,H. Petah Tikva,16,4,-22
2009/10,relegation_playoff,32,M. Ahi Nazareth,16,5,-37
2009/10,relegation_playoff,32,Hapoel Raanana,14,6,-26
2009/10,relegation_playoff,33,Hapoel Haifa,23,1,-4
2009/10,relegation_playoff,33,Hapoel Acre,19,2,-15
2009/10,relegation_playoff,33,H. Petah Tikva,19,3,-21
2009/10,relegation_playoff,33,H. Ramat Gan,18,4,-22
2009/10,relegation_playoff,33,M. Ahi Nazareth,16,5,-39
2009/10,relegation_playoff,33,Hapoel Raanana,14,6,-27
2009/10,relegation_playoff,34,Hapoel Haifa,23,1,-5
2009/10,relegation_playoff,34,H. Petah Tikva,22,2,-20
2009/10,relegation_playoff,34,Hapoel Acre,20,3,-15
2009/10,relegation_playoff,34,H. Ramat Gan,19,4,-22
2009/10,relegation_playoff,34,Hapoel Raanana,17,5,-25
2009/10,relegation_playoff,34,M. Ahi Nazareth,16,6,-41
2009/10,relegation_playoff,35,Hapoel Haifa,23,1,-6
2009/10,relegation_playoff,35,Hapoel Acre,23,2,-14
2009/10,relegation_playoff,35,H. Petah Tikva,23,3,-20
2009/10,relegation_playoff,35,H. Ramat Gan,22,4,-15
2009/10,relegation_playoff,35,Hapoel Raanana,18,5,-25
2009/10,relegation_playoff,35,M. Ahi Nazareth,16,6,-48
2010/11,relegation_playoff,31,B. Jerusalem,22,1,2
2010/11,relegation_playoff,31,FC Ashdod,20,2,-13
2010/11,relegation_playoff,31,H. Petah Tikva,18,3,-15
2010/11,relegation_playoff,31,Bnei Sakhnin,14,4,-21
2010/11,relegation_playoff,31,H. Ashkelon,13,5,-30
2010/11,relegation_playoff,31,H. Ramat Gan,2,6,-42
2010/11,relegation_playoff,32,B. Jerusalem,25,1,5
2010/11,relegation_playoff,32,FC Ashdod,20,2,-14
